date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,FEMSAUBD.MX,GAPB.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,LABB.MX,MEGACPO.MX,ORBIA.MX,PE&OLES.MX,SITES1A-1.MX ,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
2022-04-01 09:39:00,-1.3080669508025986,-0.4491240305184173,0.529315453855158,-0.2516007708861783,-1.8128457575674055,0.6619130817240075,-0.05492774837632589,0.005126088009582089,-0.43081927538531245,-0.01693777941984938,-0.9694604301372225,0.43535763795925125,-0.0378149830240118,0.06584508025228969,0.9113751794287324,-3.2620273973372473,-2.4949461463348457,-3.7839706069700076,0.3827367615666986,-0.774556902370603,-0.004218253265007148,0.007632217358310978,5.686250030481578,-3.9704912825982936
2022-04-01 09:40:00,0.22298048719932476,-0.22424470869079913,0.005648824512508367,-0.2517145423082634,-0.10703568224684668,0.11857347494733235,-0.0018427442536060597,-0.2679932717152991,-3.419304307904172,-0.781060866284404,-0.20899318233388264,-0.10533223422929901,0.006873887068636873,0.13870733118922643,-0.010389100729203503,0.12125723805329339,-0.16406946011660614,2.7508047801707587,-0.07824930326162986,0.8198369587974325,-0.004218253265007148,-0.6898962901077524,-4.095764831233062,-0.6402013747755585
2022-04-01 09:42:00,-0.10672734559262878,0.0012319158642604138,1.5629508557691016,0.23737770981166045,-1.0048234531893347,-0.031661986144020444,-0.16109542627024048,-0.40533609921430325,-0.11245326856188957,-0.1489907026898251,-0.9999388397439631,0.0026408919607543483,0.021765585729183325,-0.560590162690515,-0.6837414122574568,1.9499713927584557,-0.1641117560654764,-2.527748992641092,0.03235498878444793,0.4594603838949182,-0.04009808229578923,-0.5515697044434337,0.15338687585272595,-1.508564421378404
2022-04-01 09:43:00,-0.04400198750774779,0.45248441087994207,-1.3864827337180867,-0.2517145423082634,0.18311832529934707,-0.48222028400094985,-0.0018427442536060597,-0.13208917261275194,2.816288572075935,0.009437366277370967,0.48502126767861475,-0.15938565770606228,-0.008016816770818383,-0.05094337751987041,0.006077167210443474,-1.2129198631475744,0.9761331107663179,1.4704018018354927,0.004067122570816902,0.0016134418305231116,0.7154996716282594,0.14768144847118425,-0.2732379397345281,1.9250122151288789
2022-04-01 09:44:00,-0.813408648747671,0.0012319158642604138,0.26679395454188726,0.23737770981166045,0.010630369225748197,0.028476026828877277,1.529797209911215,0.4171504513965038,-0.21513663070741523,0.03587182325436568,-0.3584326026393478,0.16478330810230973,0.006873887068636873,-1.827599652494191,0.03895751141377714,0.9725347764807039,0.4341971056044839,0.44013890907180325,0.004067122570816902,0.0016134418305231116,0.01124791768785477,0.21760181019126218,-0.08063781397156772,-0.38079233051104605
2022-04-01 09:54:00,-1.7010971215759036,-0.8068104595641179,-0.8291836118366543,0.23726383240538368,0.26177488893493434,0.17903770884942985,1.642614182467484,-0.40572554094432545,0.656074530407647,0.29991664676295376,-0.7872272380925395,-0.0513610900683309,-0.6189412233591519,1.4778662357581425,0.33499545101826683,1.9402110721486594,-2.3746593466581944,0.5854009205406868,0.11213997076869144,-0.006124374435981304,-0.23648446516088628,-0.20220118452384128,1.2257336114111743,-1.1616853784233612
2022-04-01 09:57:00,0.8163780338595233,-0.7698055161154815,-0.256078395174012,-0.2516007708861783,-0.6534015896464103,-0.12196412933048262,-0.5255451462323095,-0.544244095845765,-0.5407322754542097,-0.06972767127000429,-0.03659790692678984,0.0026408919607543483,0.20112502162133056,0.08077059068376168,0.0389098565696646,0.7230161988441193,3.702475164308706,-1.2604088555378345,-0.3740360837355781,-0.006136494049305023,-0.004218253265007148,-0.692310925586223,-1.0645187838495649,-1.0351166914233503
2022-04-01 10:02:00,1.2526665542863693,0.45396497147047854,2.4792687736771506,0.23726383240538368,0.7802579512793664,0.4197835846348314,-1.0521151713627879,0.005126088009582089,-0.37853494764025036,-0.5976588822188342,0.5116649626379312,1.137138148513968,0.6786664033858049,0.05144512480719977,1.7971047285988333,-0.12107073629349506,-0.13688833687558294,2.6528772506183347,0.3826658748260815,-0.044840755741575186,-0.1592282260553365,-0.4132175251311753,1.1832421510188538,0.8380232980365223
2022-04-01 10:10:00,-1.7972641496644441,-0.22484437999424514,-3.119245680699602,-0.2516007708861783,-0.08278321409539724,0.8692837822120129,-3.060128260246573,-0.5463429292590614,-0.4335995402495323,-0.3605972086700056,-0.10489410095194035,-0.7499251092708776,-0.4694012114731776,0.1246421801958359,-1.728117117268407,0.36048985844558334,-4.493808971317325,-1.1719943564889428,-0.48298526716181794,0.040338395407929294,-1.3873361878463657,0.07785627633242397,-0.16708960958891494,-0.16513526535453593
2022-04-01 10:11:00,0.6520194380811798,0.0012319158642604138,2.9874104627639624,0.23726383240538368,-0.07299098622916134,-0.0016354248625184236,3.0996269284201974,0.005126088009582089,-0.8280473716673911,0.009437366277370967,0.10028520026384849,-0.2670247962870816,0.006873887068636873,-0.036377314398917796,-0.02680844209361893,-0.2412410662050316,3.0182642512166082,0.6766345686767806,0.05910318646175951,0.0016134418305231116,1.3196979779357054,0.4289654902337656,0.10763846628306424,-0.12166021186764327
