,0,1,2
0,-7.999999999999723,1.0,-0.0
1,-7.989999999999723,1.0,-0.0
2,-7.979999999999723,1.0,-0.0
3,-7.9699999999997235,1.0,-0.0
4,-7.959999999999724,1.0,-0.0
5,-7.949999999999724,1.0,-0.0
6,-7.939999999999724,1.0,-0.0
7,-7.929999999999724,1.0,-0.0
8,-7.919999999999725,1.0,-0.0
9,-7.909999999999725,1.0,-0.0
10,-7.899999999999725,1.0,-0.0
11,-7.889999999999725,1.0,-0.0
12,-7.8799999999997254,1.0,-0.0
13,-7.869999999999726,1.0,-0.0
14,-7.859999999999726,1.0,-0.0
15,-7.849999999999726,1.0,-0.0
16,-7.839999999999726,1.0,-0.0
17,-7.8299999999997265,1.0,-0.0
18,-7.819999999999727,1.0,-0.0
19,-7.809999999999727,1.0,-0.0
20,-7.799999999999727,1.0,-0.0
21,-7.789999999999727,1.0,-0.0
22,-7.779999999999728,1.0,-0.0
23,-7.769999999999728,1.0,-0.0
24,-7.759999999999728,1.0,-0.0
25,-7.749999999999728,1.0,-0.0
26,-7.739999999999728,1.0,-0.0
27,-7.729999999999729,1.0,-0.0
28,-7.719999999999729,1.0,-0.0
29,-7.709999999999729,1.0,-0.0
30,-7.699999999999729,1.0,-0.0
31,-7.6899999999997295,1.0,-0.0
32,-7.67999999999973,1.0,-0.0
33,-7.66999999999973,1.0,-0.0
34,-7.65999999999973,1.0,-0.0
35,-7.64999999999973,1.0,-0.0
36,-7.639999999999731,1.0,-0.0
37,-7.629999999999731,1.0,-0.0
38,-7.619999999999731,1.0,-0.0
39,-7.609999999999731,1.0,-0.0
40,-7.599999999999731,1.0,-0.0
41,-7.589999999999732,1.0,-0.0
42,-7.579999999999732,1.0,-0.0
43,-7.569999999999732,1.0,-0.0
44,-7.559999999999732,1.0,-0.0
45,-7.5499999999997325,1.0,-0.0
46,-7.539999999999733,1.0,-0.0
47,-7.529999999999733,1.0,-0.0
48,-7.519999999999733,1.0,-0.0
49,-7.509999999999733,1.0,-0.0
50,-7.4999999999997335,1.0,-0.0
51,-7.489999999999734,1.0,-0.0
52,-7.479999999999734,1.0,-0.0
53,-7.469999999999734,1.0,-0.0
54,-7.459999999999734,1.0,-0.0
55,-7.449999999999735,1.0,-0.0
56,-7.439999999999735,1.0,-0.0
57,-7.429999999999735,1.0,-0.0
58,-7.419999999999735,1.0,-0.0
59,-7.4099999999997355,1.0,-0.0
60,-7.399999999999736,1.0,-0.0
61,-7.389999999999736,1.0,-0.0
62,-7.379999999999736,1.0,-0.0
63,-7.369999999999736,1.0,-0.0
64,-7.3599999999997365,1.0,-0.0
65,-7.349999999999737,1.0,-0.0
66,-7.339999999999737,1.0,-0.0
67,-7.329999999999737,1.0,-0.0
68,-7.319999999999737,1.0,-0.0
69,-7.309999999999738,1.0,-0.0
70,-7.299999999999738,1.0,-0.0
71,-7.289999999999738,1.0,-0.0
72,-7.279999999999738,1.0,-0.0
73,-7.2699999999997384,1.0,-0.0
74,-7.259999999999739,1.0,-0.0
75,-7.249999999999739,1.0,-0.0
76,-7.239999999999739,1.0,-0.0
77,-7.229999999999739,1.0,-0.0
78,-7.2199999999997395,1.0,-0.0
79,-7.20999999999974,1.0,-0.0
80,-7.19999999999974,1.0,-0.0
81,-7.18999999999974,1.0,-0.0
82,-7.17999999999974,1.0,-0.0
83,-7.169999999999741,1.0,-0.0
84,-7.159999999999741,1.0,-0.0
85,-7.149999999999741,1.0,-0.0
86,-7.139999999999741,1.0,-0.0
87,-7.129999999999741,1.0,-0.0
88,-7.119999999999742,1.0,-0.0
89,-7.109999999999742,1.0,-0.0
90,-7.099999999999742,1.0,-0.0
91,-7.089999999999742,1.0,-0.0
92,-7.0799999999997425,1.0,-0.0
93,-7.069999999999743,1.0,-0.0
94,-7.059999999999743,1.0,-0.0
95,-7.049999999999743,1.0,-0.0
96,-7.039999999999743,1.0,-0.0
97,-7.029999999999744,1.0,-0.0
98,-7.019999999999744,1.0,-0.0
99,-7.009999999999744,1.0,-0.0
100,-6.999999999999744,1.0,-0.0
101,-6.989999999999744,1.0,-0.0
102,-6.979999999999745,1.0,-0.0
103,-6.969999999999745,1.0,-0.0
104,-6.959999999999745,1.0,-0.0
105,-6.949999999999745,1.0,-0.0
106,-6.9399999999997455,1.0,-0.0
107,-6.929999999999746,1.0,-0.0
108,-6.919999999999746,1.0,-0.0
109,-6.909999999999746,1.0,-0.0
110,-6.899999999999746,1.0,-0.0
111,-6.8899999999997465,1.0,-0.0
112,-6.879999999999747,1.0,-0.0
113,-6.869999999999747,1.0,-0.0
114,-6.859999999999747,1.0,-0.0
115,-6.849999999999747,1.0,-0.0
116,-6.839999999999748,1.0,-0.0
117,-6.829999999999748,1.0,-0.0
118,-6.819999999999748,1.0,-0.0
119,-6.809999999999748,1.0,-0.0
120,-6.7999999999997485,1.0,-0.0
121,-6.789999999999749,1.0,-0.0
122,-6.779999999999749,1.0,-0.0
123,-6.769999999999749,1.0,-0.0
124,-6.759999999999749,1.0,-0.0
125,-6.7499999999997495,1.0,-0.0
126,-6.73999999999975,1.0,-0.0
127,-6.72999999999975,1.0,-0.0
128,-6.71999999999975,1.0,-0.0
129,-6.70999999999975,1.0,-0.0
130,-6.699999999999751,1.0,-0.0
131,-6.689999999999751,1.0,-0.0
132,-6.679999999999751,1.0,-0.0
133,-6.669999999999751,1.0,-0.0
134,-6.6599999999997515,1.0,-0.0
135,-6.649999999999752,1.0,-0.0
136,-6.639999999999752,1.0,-0.0
137,-6.629999999999752,1.0,-0.0
138,-6.619999999999752,1.0,-0.0
139,-6.6099999999997525,1.0,-0.0
140,-6.599999999999753,1.0,-0.0
141,-6.589999999999753,1.0,-0.0
142,-6.579999999999753,1.0,-0.0
143,-6.569999999999753,1.0,-0.0
144,-6.559999999999754,1.0,-0.0
145,-6.549999999999754,1.0,-0.0
146,-6.539999999999754,1.0,-0.0
147,-6.529999999999754,1.0,-0.0
148,-6.519999999999754,1.0,-0.0
149,-6.509999999999755,1.0,-0.0
150,-6.499999999999755,1.0,-0.0
151,-6.489999999999755,1.0,-0.0
152,-6.479999999999755,1.0,-0.0
153,-6.4699999999997555,1.0,-0.0
154,-6.459999999999756,1.0,-0.0
155,-6.449999999999756,1.0,-0.0
156,-6.439999999999756,1.0,-0.0
157,-6.429999999999756,1.0,-0.0
158,-6.419999999999757,1.0,-0.0
159,-6.409999999999757,1.0,-0.0
160,-6.399999999999757,1.0,-0.0
161,-6.389999999999757,1.0,-0.0
162,-6.379999999999757,1.0,-0.0
163,-6.369999999999758,1.0,-0.0
164,-6.359999999999758,1.0,-0.0
165,-6.349999999999758,1.0,-0.0
166,-6.339999999999758,1.0,-0.0
167,-6.3299999999997585,1.0,-0.0
168,-6.319999999999759,1.0,-0.0
169,-6.309999999999759,1.0,-0.0
170,-6.299999999999759,1.0,-0.0
171,-6.289999999999759,1.0,-0.0
172,-6.2799999999997596,1.0,-0.0
173,-6.26999999999976,1.0,-0.0
174,-6.25999999999976,1.0,-0.0
175,-6.24999999999976,1.0,-0.0
176,-6.23999999999976,1.0,-0.0
177,-6.229999999999761,1.0,-0.0
178,-6.219999999999761,1.0,-0.0
179,-6.209999999999761,1.0,-0.0
180,-6.199999999999761,1.0,-0.0
181,-6.1899999999997615,1.0,-0.0
182,-6.179999999999762,1.0,-0.0
183,-6.169999999999762,1.0,-0.0
184,-6.159999999999762,1.0,-0.0
185,-6.149999999999762,1.0,-0.0
186,-6.1399999999997625,1.0,-0.0
187,-6.129999999999763,1.0,-0.0
188,-6.119999999999763,1.0,-0.0
189,-6.109999999999763,1.0,-0.0
190,-6.099999999999763,1.0,-0.0
191,-6.089999999999764,1.0,-0.0
192,-6.079999999999764,1.0,-0.0
193,-6.069999999999764,1.0,-0.0
194,-6.059999999999764,1.0,-0.0
195,-6.0499999999997645,1.0,-0.0
196,-6.039999999999765,1.0,-0.0
197,-6.029999999999765,1.0,-0.0
198,-6.019999999999765,1.0,-0.0
199,-6.009999999999765,1.0,-0.0
200,-5.9999999999997655,1.0,-0.0
201,-5.989999999999766,1.0,-0.0
202,-5.979999999999766,1.0,-0.0
203,-5.969999999999766,1.0,-0.0
204,-5.959999999999766,1.0,-0.0
205,-5.949999999999767,1.0,-0.0
206,-5.939999999999767,1.0,-0.0
207,-5.929999999999767,1.0,-0.0
208,-5.919999999999767,1.0,-0.0
209,-5.909999999999767,1.0,-0.0
210,-5.899999999999768,1.0,-0.0
211,-5.889999999999768,1.0,-0.0
212,-5.879999999999768,1.0,-0.0
213,-5.869999999999768,1.0,-0.0
214,-5.8599999999997685,1.0,-0.0
215,-5.849999999999769,1.0,-0.0
216,-5.839999999999769,1.0,-0.0
217,-5.829999999999769,1.0,-0.0
218,-5.819999999999769,1.0,-0.0
219,-5.80999999999977,1.0,-0.0
220,-5.79999999999977,1.0,-0.0
221,-5.78999999999977,1.0,-0.0
222,-5.77999999999977,1.0,-0.0
223,-5.76999999999977,1.0,-0.0
224,-5.759999999999771,1.0,-0.0
225,-5.749999999999771,1.0,-0.0
226,-5.739999999999771,1.0,-0.0
227,-5.729999999999771,1.0,-0.0
228,-5.7199999999997715,1.0,-0.0
229,-5.709999999999772,1.0,-0.0
230,-5.699999999999772,1.0,-0.0
231,-5.689999999999772,1.0,-0.0
232,-5.679999999999772,1.0,-0.0
233,-5.6699999999997726,1.0,-0.0
234,-5.659999999999773,1.0,-0.0
235,-5.649999999999773,1.0,-0.0
236,-5.639999999999773,1.0,-0.0
237,-5.629999999999773,1.0,-0.0
238,-5.619999999999774,1.0,-0.0
239,-5.609999999999774,1.0,-0.0
240,-5.599999999999774,1.0,-0.0
241,-5.589999999999774,1.0,-0.0
242,-5.5799999999997745,1.0,-0.0
243,-5.569999999999775,1.0,-0.0
244,-5.559999999999775,1.0,-0.0
245,-5.549999999999775,1.0,-0.0
246,-5.539999999999775,1.0,-0.0
247,-5.5299999999997755,1.0,-0.0
248,-5.519999999999776,1.0,-0.0
249,-5.509999999999776,1.0,-0.0
250,-5.499999999999776,1.0,-0.0
251,-5.489999999999776,1.0,-0.0
252,-5.479999999999777,1.0,-0.0
253,-5.469999999999777,1.0,-0.0
254,-5.459999999999777,1.0,-0.0
255,-5.449999999999777,1.0,-0.0
256,-5.4399999999997775,1.0,-0.0
257,-5.429999999999778,1.0,-0.0
258,-5.419999999999778,1.0,-0.0
259,-5.409999999999778,1.0,-0.0
260,-5.399999999999778,0.9999999997131644,2.8683557496987127e-08
261,-5.3899999999997785,0.9999989619878681,0.00010377255775077742
262,-5.379999999999779,0.9999969931493929,0.0001968839008270871
263,-5.369999999999779,0.999995083005981,0.00019101439294532177
264,-5.359999999999779,0.9999930722249057,0.00020107816197169933
265,-5.349999999999779,0.9999909519344071,0.00021202910729277384
266,-5.33999999999978,0.9999887167201885,0.0002235214823961198
267,-5.32999999999978,0.9999863616559276,0.00023550648987021098
268,-5.31999999999978,0.9999838818470987,0.00024798095005054016
269,-5.30999999999978,0.9999812723117169,0.0002609536088622491
270,-5.29999999999978,0.9999785279374565,0.00027443750035979184
271,-5.289999999999781,0.9999756434617917,0.00028844764459412444
272,-5.279999999999781,0.9999726134604767,0.000303000213567982
273,-5.269999999999781,0.9999694323394421,0.00031811218961697165
274,-5.259999999999781,0.9999660943282259,0.00033380121202393205
275,-5.2499999999997815,0.9999625934741146,0.00035008550594579137
276,-5.239999999999782,0.9999589236366143,0.00036698384942041045
277,-5.229999999999782,0.9999550784820808,0.0003845155574955077
278,-5.219999999999782,0.9999510514783841,0.0004027004787270244
279,-5.209999999999782,0.9999468358895686,0.0004215589957302977
280,-5.199999999999783,0.9999424247704717,0.0004411120291449103
281,-5.189999999999783,0.9999378109612765,0.00046138104447995083
282,-5.179999999999783,0.9999329870819846,0.0004823880598428264
283,-5.169999999999783,0.9999279455268238,0.0005041556526141795
284,-5.159999999999783,0.9999226784585539,0.0005267069696512602
285,-5.149999999999784,0.9999171778026799,0.0005500657363727747
286,-5.139999999999784,0.9999114352415728,0.0005742562662385915
287,-5.129999999999784,0.9999054422085066,0.0005993034689157736
288,-5.119999999999784,0.9998991898815951,0.000625232860491454
289,-5.1099999999997845,0.9998926691776053,0.0006520705755780638
290,-5.099999999999785,0.9998858707457072,0.0006798433739351014
291,-5.089999999999785,0.9998787849610972,0.0007085786529241955
292,-5.079999999999785,0.9998714019185494,0.0007383044547261719
293,-5.069999999999785,0.9998637114258601,0.0007690494772137217
294,-5.059999999999786,0.9998557029971655,0.000800843086358813
295,-5.049999999999786,0.9998473658461925,0.0008337153230932607
296,-5.039999999999786,0.9998386888794083,0.00086769691341701
297,-5.029999999999786,0.9998296606890443,0.0009028192809058903
298,-5.019999999999786,0.9998202695460656,0.0009391145522135092
299,-5.009999999999787,0.9998105033930275,0.0009766155683180134
300,-4.999999999999787,0.999800349836799,0.0010153558978386239
301,-4.989999999999787,0.999789796141234,0.001055369842333305
302,-4.979999999999787,0.9997788292197365,0.0010966924467668707
303,-4.9699999999997875,0.9997674356277395,0.0011393595082789202
304,-4.959999999999788,0.9997556015550519,0.0011834075892622354
305,-4.949999999999788,0.9997433128181762,0.0012288740203891698
306,-4.939999999999788,0.999730554852503,0.0012757969128491852
307,-4.929999999999788,0.9997173127043874,0.0013242151702051723
